  101 ! (c) 2018 Oklahoma Climatological Survey and the Oklahoma Mesonet - all rights reserved
  21 2018 04 13 00 00 00
 STID  STNM  TIME   RELH   TAIR   WSPD   WVEC  WDIR   WDSD   WSSD   WMAX    RAIN     PRES  SRAD   TA9M   WS2M   TS10   TB10   TS05   TS25   TS60    TR05    TR25    TR60
 TULN   137     0     53   25.9    9.5    9.2   181   12.9    2.3   14.6    0.00   975.66   136   26.0    7.5   18.1   21.0   20.4   14.8   12.5    1.98    1.42    1.42
 VALL   140     0     52   25.6    7.2    7.1   172    9.6    1.3   10.3    0.00   991.56    53   26.2    6.0   16.9   20.1   18.6   15.3   14.4    1.47    1.42    1.41
 VINI    97     0     56   25.0    9.3    9.3   192    6.9    0.9   11.9    0.00   972.68   123   25.1    7.0   16.5   17.5   16.4   12.3   10.4    1.85    1.37    1.41
 WAL2   136     0     42   29.9   10.6   10.6   172    5.3    1.0   14.2    0.00   960.68   160   30.3    9.0   18.4   27.3   19.5   16.0   14.2    2.30    1.45    1.44
 WASH    99     0     54   27.0   10.1   10.0   160    8.6    1.7   14.3    0.00   960.00   154   26.9    8.3   18.6   -999   21.1   15.6   13.6    1.65    1.45    1.38
 WATO   100     0     30   31.0   11.0   10.9   170    7.2    1.6   15.3    0.00   936.57   176   30.9    8.4   18.0   23.2   19.5   15.2   12.7    2.26    2.30    2.23
 WAUR   101     0     50   29.2    8.8    8.6   151   10.3    1.9   13.8    0.00   966.65   152   28.9    6.6   18.1   26.7   19.0   15.8   13.7    1.88    1.45    1.47
 WEAT   102     0     29   31.2   13.0   12.9   164    6.7    1.6   16.3    0.00   934.16   174   31.0    9.7   20.8   27.4   23.8   15.5   -998    3.66    3.39    -998
 WEBR   132     0     45   27.0    6.8    6.7   183    8.5    1.0    8.7    0.00   985.59   124   27.0    5.9   15.4   20.7   16.2   13.0   12.2    1.38    1.36    1.58
 WEST   104     0     49   25.0    7.4    7.1   185   15.9    2.0   12.3    0.00   962.49   117   25.2    5.8   16.6   22.2   17.8   13.6   -998    2.22    1.49    -998
 WILB   105     0     50   25.6    9.1    9.0   187   11.4    2.2   14.4    0.00   979.94   132   25.9    7.0   16.5   18.5   18.0   14.4   12.8    1.44    1.40    1.41
 WIST   106     0     46   26.2    9.3    9.1   188   11.8    2.0   13.1    0.00   987.09   140   26.5    7.0   17.3   19.6   18.9   14.2   12.7    1.40    1.49    1.46
 WOOD   107     0      4   35.6    8.8    8.7   228    9.0    1.2   11.5    0.00   922.72   208   35.8    6.2   19.4   25.4   21.9   16.9   14.0    3.63    3.25    3.78
 WYNO   108     0     54   25.9   11.8   11.7   175    7.5    1.4   15.2    0.00   967.03    72   25.9    9.9   21.1   22.5   22.2   14.6   -998    2.09    1.66    -998
